,City,Country,Lat,Lng,Humidity,Hotel Name
387,tomatlan,MX,19.9333,-105.25,93,Hotel Hacienda Vieja Tomatlan
388,duyun,CN,26.2667,107.5167,95,No hotel found
389,dryden,CA,49.7833,-92.7503,100,Holiday Inn Express
390,saint john,CA,45.2727,-66.0677,100,Hilton Garden Inn
391,tazacorte,ES,28.629,-17.9293,37,App Leyma
392,karbala,IQ,32.616,44.0249,17,فندق القمر
393,ksar el kebir,MA,35.0017,-5.9053,22,Hotel Ksar al Yamama
394,tofol,FM,5.3248,163.0078,94,Nautilus Resort
395,point pedro,LK,9.8167,80.2333,75,Iru Lodge Guesthouse
396,darnah,LY,32.767,22.6367,59,فندق الفردوس
397,kudahuvadhoo,MV,2.6708,72.8944,78,Hotel Riu Palace Maldivas
398,nyons,FR,44.3333,5.1667,31,Colombet
399,chizhou,CN,30.6578,117.4831,75,No hotel found
400,sechura,PE,-5.5569,-80.8222,87,Hospedaje Claritza
401,tikhvin,RU,59.6451,33.5294,60,Тихвин
402,taltal,CL,-25.4,-70.4833,82,Hostería Taltal
403,whitehorse,CA,60.7161,-135.0538,76,Town & Mountain Hotel
404,mount pearl,CA,47.5166,-52.7813,92,Sandman Signature St. John's
405,ouani,KM,-12.1322,44.4258,75,Al Amal
406,addiet canna,ET,11.2667,37.4833,45,No hotel found
407,sandnessjoen,NO,66.0217,12.6316,73,Scandic Syv Søstre
408,dikhil,DJ,11.5,42.1667,15,No hotel found
409,yinchuan,CN,38.4681,106.2731,48,Yinchuan hotel
410,carolina beach,US,34.0352,-77.8936,94,Carolina Beach Inn
411,gorodoviki,RU,46.1353,41.9656,36,No hotel found
412,cidade velha,CV,14.9167,-23.6167,66,Encosta Azul
413,dakhla,EH,23.6848,-15.958,35,Hotel El Massira
414,dwarka,IN,22.2394,68.9678,68,The Dwarika Hotel
415,port moresby,PG,-9.4431,147.1797,94,The Sanctuary Hotel and Spa
416,baker city,US,44.7749,-117.8344,73,Geiser Grand Hotel
417,camayenne,GN,9.535,-13.6878,94,Palm Camayenne
418,sinabang,ID,2.4803,96.3801,79,No hotel found
419,ghat,LY,24.9647,10.1728,20,فندق تاسيلي
420,north platte,US,41.1239,-100.7654,62,Howard Johnson Inn - North Platte
421,kurakhovo,UA,47.9852,37.2821,44,Гостинний двір
422,loja,EC,-3.9931,-79.2042,82,Hostal America
423,eyl,SO,7.9803,49.8164,49,فندق ايل دابي
424,ancud,CL,-41.8697,-73.8203,78,Cabañas
